Model,Mesh ID,Mesh Index,Mean IoU,Mean Dice,Std IoU,Std Dice
Geo-aware mem + Matte,7b7b140d42cf447d87ab5e1ef407d9ae,108,36.92384498814742,42.84232308467229,15.599706684882534,14.692742599778242
Geo-aware mem + Matte,b5aa31a84cc746a982228827c5185ac3,151,22.045758863290153,23.70659112930298,9.293126616079487,9.5186365306108
Geo-aware mem + Matte,1d97ec6885464f6a9ce7a4cc955bff41,22,76.5143891175588,78.49957197904587,12.690018944582249,11.949533557907994
Geo-aware mem + Matte,9f43d0ac857541e8a3a92e20ba284c44,139,71.11599519848824,74.31231786807379,16.538714835018563,16.120332098257425
Geo-aware mem + Matte,da7af66ce5df4629802e97dc03d186f5,173,76.04744359850883,78.34974775711694,18.254421282430382,17.25218095889054
Geo-aware mem + Matte,238bdb0c4e3e4432951c31c85a55a9c8,26,20.68466326842705,22.331969564159714,12.819396391827691,12.434869410360918
Geo-aware mem + Matte,f1150d2342a8470e912942c49e978f28,188,31.17652504394452,36.301590626438454,20.25101699815209,19.896517578523202
Geo-aware mem + Matte,2e5436e635dc4336984c76a5f92c7141,35,55.18288711706797,62.49351451794306,17.692718237104977,17.69271194291344
Geo-aware mem + Matte,45adf40fce0a4690878d1c23c95f8477,57,41.14999175071716,46.374237040678665,10.319548952340968,11.182461311474293
Geo-aware mem + Matte,4b57e73e82ab400aa307adac36ea0e5e,62,32.890241096417114,37.25642512242,8.175461568922383,9.156412463256455
Geo-aware mem + Matte,53d9d21ff95f42428225f906cd9a0a5a,70,68.228550752004,70.70319155851999,10.434371526685021,10.139565592241832
Geo-aware mem + Matte,f121301624174b179ca4d50158797b03,189,34.72397240499656,42.883745332558945,15.810732342842378,15.423164927614025
Geo-aware mem + Matte,02e777bdc5114b148963ed3def6ad471,6,51.93121259411176,55.514525373776756,7.9349208469617265,7.699095725170385
Geo-aware mem + Matte,245af7dde0cd4add9f7e11db3bbbccba,28,43.48169565200806,47.15895938376586,12.22667278300677,11.851867801183015
Geo-aware mem + Matte,cdc707fbe68c474497cb9dd676ede842,163,69.19742400447527,71.34039054314295,16.615873500754525,16.340921462671794
Finetuned Multimodal (MM + Geo-aware mem),63695230beb44ae68650bdd4d914917f,86,60.16720359524091,69.04872556527457,14.037220796843409,13.709069488556183
Finetuned Multimodal (MM + Geo-aware mem),ed24b6e27921449f935509d9f3da043f,181,65.60350308815637,74.44946120182672,16.390505501307278,14.275758092654023
Finetuned Multimodal (MM + Geo-aware mem),3031b834ab514a0fb91e0fec151ed0ff,39,70.32622943321863,76.2583002448082,16.78724483662011,15.363365987367766
Finetuned Multimodal (MM + Geo-aware mem),d4f7c4b5f9bd4284899477cb1f5bb48f,168,53.0309684574604,59.63680570324262,10.612214296056552,9.808230978506904
Finetuned Multimodal (MM + Geo-aware mem),6499bf2bcc024d419bd23f4d2eb332ce,87,47.5402479370435,52.57495567202568,12.64793510986484,11.865745151806955
Finetuned Multimodal (MM + Geo-aware mem),f044310ff65243f9b90fa0904025c034,185,57.190798223018646,65.70887317260107,13.641911691626248,13.292789363101583
Finetuned Multimodal (MM + Geo-aware mem),31b3720044ca458d90461a4ba5a22abf,40,58.675599098205566,66.91147461533546,15.32901135697749,14.875129279535932
Finetuned Multimodal (MM + Geo-aware mem),002e462c8bfa4267a9c9f038c7966f3b,1,78.81210347016653,82.28106747070947,18.1383391564428,17.377584097286345
Finetuned Multimodal (MM + Geo-aware mem),554899583c654f3e84ba4b4263b4bb94,71,55.250973254442215,61.275698244571686,6.221317075721402,5.66684532341914
Finetuned Multimodal (MM + Geo-aware mem),b51e3cb5e548409f940eb38f8db551d2,150,45.6336001555125,54.450820138057075,14.74078472790555,13.319672728027804
Finetuned Multimodal (MM + Geo-aware mem),84c69258a64f421080b44ed49650da52,114,81.86686784029007,86.29877865314484,12.721079774575147,11.346842184911976
