Mesh_ID,Mesh_Index,Modality,GT_Instance_ID,IoU,Dice,GT_Area,Pred_Area,Num_Predicted_Masks,Best_Pred_Mask_ID
395af3909e9d4152b713769ae9182ef0,43,normal,2,0.8231247067451477,0.9029823541641235,52270,43125,9,2
395af3909e9d4152b713769ae9182ef0,43,normal,3,0.9764508008956909,0.9880850911140442,11849,11651,9,3
395af3909e9d4152b713769ae9182ef0,43,normal,4,0.9811903834342957,0.9905058741569519,10956,10847,9,4
395af3909e9d4152b713769ae9182ef0,43,normal,5,0.0032559693790972233,0.006490804720669985,2778,9239,9,6
395af3909e9d4152b713769ae9182ef0,43,normal,6,0.03480794280767441,0.06727420538663864,4258,9239,9,6
395af3909e9d4152b713769ae9182ef0,43,normal,7,0.002565747359767556,0.0051183621399104595,2416,11651,9,3
395af3909e9d4152b713769ae9182ef0,43,point,1,0.03640514984726906,0.07025273889303207,1436,14905,7,4
395af3909e9d4152b713769ae9182ef0,43,point,2,0.985140860080719,0.9925147891044617,52270,51535,7,1
395af3909e9d4152b713769ae9182ef0,43,point,3,0.7866969704627991,0.8806160092353821,11849,14905,7,4
395af3909e9d4152b713769ae9182ef0,43,point,4,0.7490926384925842,0.8565499782562256,10956,14586,7,5
395af3909e9d4152b713769ae9182ef0,43,point,5,0.18380147218704224,0.3105275332927704,2778,14586,7,5
395af3909e9d4152b713769ae9182ef0,43,point,6,0.0474708154797554,0.09063892811536789,4258,14586,7,5
395af3909e9d4152b713769ae9182ef0,43,point,7,0.1512794941663742,0.262802392244339,2416,14905,7,4
395af3909e9d4152b713769ae9182ef0,43,matte,1,2.253927414130885e-05,4.5077533286530524e-05,1436,42932,9,2
395af3909e9d4152b713769ae9182ef0,43,matte,2,0.8212810158729553,0.9018718004226685,52270,42932,9,2
395af3909e9d4152b713769ae9182ef0,43,matte,3,0.9785028100013733,0.9891346096992493,11849,11620,9,4
395af3909e9d4152b713769ae9182ef0,43,matte,4,0.9779478907585144,0.988851010799408,10956,10750,9,5
395af3909e9d4152b713769ae9182ef0,43,matte,5,0.00014786337851546705,0.0002956830139737576,2778,10750,9,5
395af3909e9d4152b713769ae9182ef0,43,matte,6,0.0010672358330339193,0.0021321962121874094,4258,10750,9,5
395af3909e9d4152b713769ae9182ef0,43,matte,7,0.00020911752653773874,0.000418147596064955,2416,7150,9,8
3a5ed2b8d5c5468897e797dcaba508a1,44,normal,1,0.8715890049934387,0.931389331817627,36129,31703,8,2
3a5ed2b8d5c5468897e797dcaba508a1,44,normal,3,0.0,0.0,2154,810770,8,0
3a5ed2b8d5c5468897e797dcaba508a1,44,normal,4,0.799007773399353,0.8882760405540466,7355,6062,8,5
