Mesh_ID,Mesh_Index,Modality,Mean_IoU,Mean_Dice,Std_IoU,Std_Dice,Num_Instances,Num_Predicted_Masks,Mesh_Runtime
67e2e51a2c87480a999293f3c554d61d,94,matte,0.9364455491304398,0.9663337469100952,0.055184860958492885,0.029692729663338125,4,6,116.47466492652893
687e47474eb84ef285b1df164e0788fb,95,normal,0.17697260745626409,0.21052474172029179,0.31482405504500105,0.34041631689313506,16,4,120.54697060585022
687e47474eb84ef285b1df164e0788fb,95,point,0.13876819935103413,0.17272893569315784,0.2781320442240217,0.2923657673730545,16,6,120.54697060585022
687e47474eb84ef285b1df164e0788fb,95,matte,0.17036640255378188,0.18493808211087526,0.34355861077637184,0.36206708203306615,16,4,120.54697060585022
68834dab6d6c46bb8fb7ca4d5c218b67,96,normal,0.3995093107223511,0.4666050374507904,0.36503803730010986,0.39995983242988586,2,11,113.28074336051941
68834dab6d6c46bb8fb7ca4d5c218b67,96,point,0.38249444869870786,0.4337247716030106,0.3820514092076337,0.4328390849987045,2,3,113.28074336051941
68834dab6d6c46bb8fb7ca4d5c218b67,96,matte,0.5004824977368116,0.5204794313758612,0.47234690375626087,0.46574814058840275,2,5,113.28074336051941
6a834c1320c245ac87d16784683aeeec,97,normal,0.046131247454064175,0.08392996237509781,0.05027419591162352,0.08877003010501795,9,3,114.30691981315613
6a834c1320c245ac87d16784683aeeec,97,point,0.05592002766469603,0.09760939316402073,0.07278753463576697,0.12073057352049009,9,7,114.30691981315613
6a834c1320c245ac87d16784683aeeec,97,matte,0.04230236283102487,0.07396973179937857,0.06710720800405001,0.11197068681506339,9,5,114.30691981315613
6ea331125ac747c1b8640dc80d90d4cd,98,normal,0.11271258727468264,0.15022421203768596,0.21206058613699114,0.27553915946774493,13,10,138.2735869884491
6ea331125ac747c1b8640dc80d90d4cd,98,point,0.17612784932582423,0.2237982851668046,0.27750936469723897,0.3228139536721245,13,9,138.2735869884491
6ea331125ac747c1b8640dc80d90d4cd,98,matte,0.106199317496458,0.14339707371590732,0.20157953766248535,0.2674364402989108,13,6,138.2735869884491
70cae8050a1c4d3abd6681ba892a9a44,99,normal,0.19649865985099627,0.22197976509466702,0.34919754913610934,0.3693219650979879,7,6,138.9349331855774
70cae8050a1c4d3abd6681ba892a9a44,99,point,0.3355346050645624,0.432985004569803,0.3100318877488763,0.3043988137164181,7,8,138.9349331855774
70cae8050a1c4d3abd6681ba892a9a44,99,matte,0.19208879111725505,0.21750599766424525,0.3462004633693991,0.3652348952495388,7,8,138.9349331855774
71daf747a9b54b9299cc495533141eb5,100,normal,0.5698692396283149,0.6329577669501305,0.38632360347268757,0.379128965601313,5,9,99.60610246658325
71daf747a9b54b9299cc495533141eb5,100,point,0.38248441480100154,0.4896300360560417,0.2847632188881888,0.31375866237314326,5,6,99.60610246658325
71daf747a9b54b9299cc495533141eb5,100,matte,0.5697010338306427,0.6322056844830513,0.38921364261775027,0.3791549946402591,5,7,99.60610246658325
727370d6df3e47bfabc30ac1b10fb445,101,normal,0.2921397426327985,0.38679401965600846,0.2624921305656591,0.3232687617504878,4,4,103.86126852035522
727370d6df3e47bfabc30ac1b10fb445,101,point,0.2927300129849755,0.38716189573096926,0.2636454464380106,0.323759853061647,4,3,103.86126852035522
727370d6df3e47bfabc30ac1b10fb445,101,matte,0.293254117439119,0.38811408155743266,0.26239873890648696,0.32362363540344,4,4,103.86126852035522
73fc1424ee9c4dd9bee17702aab2b7b3,102,normal,0.3979035561904311,0.4119135793298483,0.4692282923688328,0.46891039715882304,5,7,127.68044900894165
73fc1424ee9c4dd9bee17702aab2b7b3,102,point,0.4031939554493874,0.409666435001418,0.48266038461658467,0.4797475812649635,5,6,127.68044900894165
73fc1424ee9c4dd9bee17702aab2b7b3,102,matte,0.39842160828411577,0.41426328886300323,0.466788520600883,0.46611237590131704,5,7,127.68044900894165
74c05ea2f5d64357a75e4ecafb9570f9,103,normal,0.43276067031547427,0.5501390965655446,0.28260296307496185,0.27941005579345873,8,10,109.50492477416992
74c05ea2f5d64357a75e4ecafb9570f9,103,point,0.17958876028478699,0.2602595075404679,0.19513549644268657,0.2682204093037435,8,5,109.50492477416992
74c05ea2f5d64357a75e4ecafb9570f9,103,matte,0.450686983182095,0.4936023922637105,0.423165035196797,0.4391534240230476,8,9,109.50492477416992
77d56cc994f94d8280c38009688e7413,104,normal,0.42753678653389215,0.5084345657378435,0.3605547327785706,0.3610314396531125,4,6,116.08698153495789
77d56cc994f94d8280c38009688e7413,104,point,0.38835305179236457,0.43527609936427325,0.39993042618752433,0.43387524168375213,4,4,116.08698153495789
77d56cc994f94d8280c38009688e7413,104,matte,0.4873652532696724,0.5994707718491554,0.3063857332301727,0.27280596063343754,4,10,116.08698153495789
78a7c30405f64b0f8137c3922c1464a0,105,normal,0.2675293207168579,0.31915180683135985,0.3647955493231385,0.3626753186910659,5,4,92.5281994342804
78a7c30405f64b0f8137c3922c1464a0,105,point,0.2670881301164627,0.31945722699165346,0.3627047485627875,0.3616517717180863,5,5,92.5281994342804
78a7c30405f64b0f8137c3922c1464a0,105,matte,0.254414564371109,0.30980792045593264,0.34513942240910456,0.352680450343794,5,4,92.5281994342804
78c7c67eae00428b9bc50c288776c75b,106,normal,0.21133136881801945,0.2506975163705647,0.34110610947323894,0.35403202804786554,13,7,125.99978113174438
78c7c67eae00428b9bc50c288776c75b,106,point,0.20802902476897053,0.2451054199401859,0.3410010548498834,0.355180891002958,13,8,125.99978113174438
78c7c67eae00428b9bc50c288776c75b,106,matte,0.22720704976437936,0.27100681668134013,0.3442688111828314,0.3584555126924348,13,10,125.99978113174438
7b15e31faa7141329dad5f83089f678a,107,normal,0.3260589245250003,0.37115660498435926,0.39242736998657185,0.4095599258548656,9,7,123.123539686203
7b15e31faa7141329dad5f83089f678a,107,point,0.3068463124376548,0.37973569474229407,0.32930538383899727,0.3605384085769698,9,5,123.123539686203
7b15e31faa7141329dad5f83089f678a,107,matte,0.35014392430799846,0.394019779107263,0.4099652937731087,0.4126021654716854,9,8,123.123539686203
7b7b140d42cf447d87ab5e1ef407d9ae,108,normal,0.3129102624952793,0.3762816786766052,0.3417636031503167,0.3901087525080532,8,8,98.35481786727905
7b7b140d42cf447d87ab5e1ef407d9ae,108,point,0.25886083068326116,0.3565451940521598,0.24085954458206282,0.2883262769124332,8,9,98.35481786727905
7b7b140d42cf447d87ab5e1ef407d9ae,108,matte,0.3660240062599769,0.45463342779839877,0.3154551394106167,0.35772595136681634,8,9,98.35481786727905
7c6ac3a8aa4b472fbc31ed8cf50703d2,109,normal,0.5589336250365401,0.6404798668033133,0.35463951165007257,0.34434960461247033,6,13,117.09363722801208
7c6ac3a8aa4b472fbc31ed8cf50703d2,109,point,0.696255827943484,0.7959754367669424,0.23591084972710705,0.18081079222293778,6,13,117.09363722801208
7c6ac3a8aa4b472fbc31ed8cf50703d2,109,matte,0.6699362059783501,0.7300099924517175,0.35401617762909315,0.34823232869152543,6,14,117.09363722801208
