Model,Mesh ID,Mesh Index,Mean IoU,Mean Dice,Std IoU,Std Dice,iou_view_0,iou_view_1,iou_view_2,iou_view_3,iou_view_4,iou_view_5,iou_view_6,iou_view_7,iou_view_8,iou_view_9,iou_view_10,iou_view_11,dice_view_0,dice_view_1,dice_view_2,dice_view_3,dice_view_4,dice_view_5,dice_view_6,dice_view_7,dice_view_8,dice_view_9,dice_view_10,dice_view_11
Dual (Normal+Point) + Geo-aware mem (GT prompts),474fd643f4204ee59ff73fe9b1916239,59,25.377746174732845,30.115893483161926,7.214707941523005,6.8988056989523105,39.70537781715393,28.289803862571716,14.03219848871231,26.50737464427948,29.064321517944336,27.283260226249695,26.643824577331543,22.82545119524002,29.85430657863617,28.92369031906128,19.924254715442657,11.47909015417099,41.11916720867157,32.75710046291351,17.889247834682465,31.4915269613266,34.59739089012146,30.05017638206482,30.133289098739624,27.053141593933105,35.91192662715912,36.311909556388855,27.502822875976562,16.573022305965424
Dual (Normal+Point) + Geo-aware mem (GT prompts),42e5ff17de214f0d8aabd509f090a46c,55,71.63006067276001,75.19682385027409,18.875405867671077,18.371902146455056,98.91103506088257,77.98043489456177,59.76333022117615,62.21110224723816,81.11853003501892,80.19850254058838,81.81225657463074,80.68400621414185,79.2742133140564,77.64416933059692,60.159534215927124,19.803613424301147,99.45186376571655,85.31632423400879,67.24071502685547,65.72046279907227,83.36015939712524,83.00004005432129,83.94792079925537,83.54145884513855,82.43870139122009,80.73269128799438,64.7685706615448,22.842977941036224
Dual (Normal+Point) + Geo-aware mem (GT prompts),2084a523a5df4567844524afef5912db,23,39.97179542978604,46.98522463440895,13.469984785205853,12.559605071989813,82.2880744934082,41.55605733394623,31.621617078781128,38.12212646007538,29.83456552028656,36.722466349601746,43.859052658081055,34.629711508750916,28.74837815761566,39.265891909599304,35.180941224098206,37.83266246318817,85.77551245689392,48.44353795051575,38.97594213485718,45.61726748943329,37.69242465496063,45.55257856845856,50.47202110290527,41.764482855796814,34.340617060661316,48.410654067993164,41.89173877239227,44.885918498039246
Dual (Normal+Point) + Geo-aware mem (GT prompts),053b8a4984e340ad94f3b563594ff09d,7,61.58860698342323,68.58508537213007,8.812454518056727,7.915608796294081,74.71303939819336,61.047953367233276,44.20493543148041,44.77815628051758,60.00734567642212,68.12129616737366,66.87703132629395,65.12561440467834,67.45197772979736,66.74064993858337,56.610411405563354,63.38487267494202,77.40170359611511,68.51762533187866,52.27515697479248,52.53250002861023,68.89225840568542,74.08686876296997,72.62067198753357,73.62001538276672,72.95112609863281,74.45386052131653,64.38395977020264,71.28527760505676
Dual (Normal+Point) + Geo-aware mem (GT prompts),062c791e78a643f7bd380c336f809389,8,51.479778438806534,59.83061293760935,11.885269556936183,10.641913452611957,70.88297009468079,64.50064778327942,63.551729917526245,53.82147431373596,54.596441984176636,57.66892433166504,56.818950176239014,36.8085503578186,34.1681569814682,32.846635580062866,45.7518607378006,46.34099900722504,71.15468382835388,72.20335602760315,67.1380877494812,64.44042921066284,64.72049951553345,67.60403513908386,67.10694432258606,50.16624331474304,40.49311578273773,40.54381549358368,56.05188608169556,56.3442587852478
Dual (Normal+Point) + Geo-aware mem (GT prompts),7b7b140d42cf447d87ab5e1ef407d9ae,108,39.7079162299633,45.15274365743001,13.691170524066015,12.773961874102252,76.85759663581848,44.62078511714935,49.300748109817505,35.39899289608002,28.916165232658386,48.18904101848602,44.2106157541275,31.805342435836792,31.31062686443329,25.51991641521454,27.92876362800598,32.43640065193176,78.35714221000671,48.70463311672211,54.551076889038086,42.86834895610809,33.619844913482666,55.43457865715027,48.80264699459076,39.23177123069763,38.708966970443726,29.670220613479614,33.556634187698364,38.32705914974213
Dual (Normal+Point) + Geo-aware mem (GT prompts),b5aa31a84cc746a982228827c5185ac3,151,32.51156421999137,35.57816383739312,6.50033234624733,5.997259853567825,38.010773062705994,37.18608915805817,27.328407764434814,28.804484009742737,32.327669858932495,35.84268391132355,41.097381711006165,27.04685926437378,19.190390408039093,26.02507472038269,40.22243320941925,37.05652356147766,40.70642292499542,39.62714672088623,29.406920075416565,32.769957184791565,37.12550699710846,38.53772282600403,42.67326593399048,30.761313438415527,23.10982495546341,29.652225971221924,42.415353655815125,40.152305364608765
Dual (Normal+Point) + Geo-aware mem (GT prompts),1d97ec6885464f6a9ce7a4cc955bff41,22,83.58003596464792,85.15714655319849,14.389789070509146,13.906232516107927,99.22590255737305,98.63944053649902,97.02889323234558,88.32036852836609,95.59812545776367,98.45261573791504,88.91400098800659,65.56985378265381,74.91507530212402,69.71346735954285,63.9237105846405,62.65897750854492,99.61103200912476,99.31427240371704,98.46324920654297,89.90193605422974,97.65271544456482,99.21793937683105,90.24569392204285,68.25228929519653,76.69973373413086,72.6755142211914,65.27213454246521,64.57924842834473
Dual (Normal+Point) + Geo-aware mem (GT prompts),9f43d0ac857541e8a3a92e20ba284c44,139,75.47837321956953,79.55742081006369,15.038915668922092,13.813746861518094,97.90489077568054,94.66744065284729,89.12616968154907,75.04430413246155,66.16899371147156,89.3596887588501,78.77196073532104,78.65541577339172,68.3205783367157,64.2967700958252,56.72115683555603,46.70310914516449,98.9342451095581,97.18955159187317,93.88707876205444,79.09537553787231,71.604323387146,94.14522051811218,81.95558190345764,81.85438513755798,71.49063348770142,67.98466444015503,59.98808741569519,56.55990242958069
Dual (Normal+Point) + Geo-aware mem (GT prompts),da7af66ce5df4629802e97dc03d186f5,173,77.1899183591207,79.04401868581772,14.445830831760254,13.531876358756847,99.5065689086914,99.34719800949097,98.8322913646698,82.60431289672852,69.80284452438354,76.21204853057861,77.07012295722961,76.06086134910583,60.58861017227173,61.49347424507141,62.54681348800659,62.213873863220215,99.75262880325317,99.67246651649475,99.41227436065674,86.33893132209778,73.57998490333557,76.98450088500977,77.42641568183899,76.92264914512634,64.94368314743042,64.54166769981384,64.7032380104065,64.24978375434875
